iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
EBA,LIRJ,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,31,Europe/Rome,medium_airport
EBB,HUEN,Entebbe International Airport,Kampala,UG,0.042386,32.443501,3782,Africa/Kampala,large_airport
EBD,HSOB,El-Obeid Airport,El-Obeid,SD,13.1532,30.2327,1927,Africa/Khartoum,medium_airport
EBG,SKEB,El Bagre Airport,El Bagre,CO,7.59647,-74.8089,180,America/Bogota,medium_airport
EBJ,EKEB,Esbjerg Airport,Esbjerg,DK,55.525902,8.5534,97,Europe/Copenhagen,medium_airport
EBL,ORER,Erbil International Airport,Arbil,IQ,36.23759841918945,43.963199615478516,1341,Asia/Baghdad,medium_airport
EBM,DTTR,El Borma Airport,El Borma,TN,31.7043,9.25462,827,Africa/Tunis,medium_airport
EBU,LFMH,Saint-Étienne-Bouthéon Airport,"Andrézieux-Bouthéon, Loire",FR,45.5406,4.29639,1325,Europe/Paris,medium_airport
ECG,KECG,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,US,36.260601,-76.174599,11,America/New_York,medium_airport
ECH,YECH,Echuca Airport,,AU,-36.15719985961914,144.76199340820312,323,Australia/Melbourne,medium_airport
ECN,LCEN,Nicosia (Lefkoşa) Ercan International Airport,Tymbou (Kirklar),CY,35.152337,33.506584,404,Asia/Nicosia,medium_airport
ECP,KECP,Northwest Florida Beaches International Airport,Panama City Beach,US,30.357106,-85.795414,69,America/Chicago,medium_airport
EDF,PAED,Elmendorf Air Force Base,Anchorage,US,61.251709,-149.807097,212,America/Anchorage,medium_airport
EDI,EGPH,Edinburgh Airport,Edinburgh,GB,55.950145,-3.372288,135,Europe/London,large_airport
EDL,HKEL,Eldoret International Airport,Eldoret,KE,0.4044579863548279,35.23889923095703,6941,Africa/Nairobi,medium_airport
EDM,LFRI,La Roche-sur-Yon Les Ajoncs Airport,La Roche-sur-Yon,FR,46.7019,-1.37863,299,Europe/Paris,medium_airport
EDO,LTFD,Balıkesir Koca Seyit Airport,Edremit,TR,39.5546,27.0138,50,Europe/Istanbul,medium_airport
EDW,KEDW,Edwards Air Force Base,Edwards,US,34.910781,-117.886391,2312,America/Los_Angeles,medium_airport
EEA,SNCP,Planalto Serrano Regional Airport,Correia Pinto,BR,-27.634128,-50.358253,2887,N/A,medium_airport
EED,KEED,Needles Airport,Needles,US,34.7663002014,-114.623001099,983,America/Los_Angeles,medium_airport
EEN,KEEN,Dillant Hopkins Airport,Keene,US,42.898399,-72.270798,488,America/New_York,medium_airport
EES,HEBR,Berenice International Airport / Banas Cape Air Base,Berenice Troglodytica,EG,23.980437,35.460277,108,N/A,medium_airport
EFD,KEFD,Ellington Airport,Houston,US,29.607299804700002,-95.1587982178,32,America/Chicago,medium_airport
EFL,LGKF,Kefallinia Airport,Kefallinia Island,GR,38.12009811401367,20.500499725341797,59,Europe/Athens,medium_airport
EGC,LFBE,Bergerac Dordogne-Périgord airport,Bergerac,FR,44.825298,0.518611,171,Europe/Paris,medium_airport
EGE,KEGE,Eagle County Regional Airport,Eagle,US,39.64260101,-106.9179993,6548,America/Denver,medium_airport
EGH,HEGR,El Jora Airport,El Jora,EG,31.078138,34.153131,331,N/A,medium_airport
EGI,KEGI,Duke Field,Crestview,US,30.65040016,-86.52290344,191,America/Chicago,medium_airport
